id,name,compilation_root,dlc_root,console,original_console,completion,ownership,achievements,achievements_total,rating,multi_rating,now_playing,note,multi_note,review,multi_comp_local,multi_coop_local,multi_comp_LAN,multi_coop_LAN,multi_comp_online,multi_coop_online
,Excitebike 64,,,18,,3,,,,5,,,,,,4,,,,,
,Excitebike,1,,18,21,0,,,,2,,,,,,,,,,,
,F-Zero X,,,18,,3,,,,4,,,,,,4,,,,,
,Goldeneye 007,,,18,,4,,,,5,,,,,,4,,,,,
,The Legend of Zelda: Ocarina of Time,,,18,,3,,,,5,,,,,,,,,,,
,Mario Golf,,,18,,0,,,,3,,,,,,4,,,,,
,Mario Kart 64,,,18,,3,,,,4,,,,,,4,2,,,,
,Mario Party,,,18,,3,,,,4,,,,,,4,,,,,
,Mario Party 2,,,18,,3,,,,4,,,,,,4,,,,,
,Mario Party 3,,,18,,3,,,,5,,,,,,4,,,,,
,Mario Tennis,,,18,,3,,,,4,,,,,,4,2,,,,
,Perfect Dark,,,18,,3,,,,5,,,,,,4,2,,,,
,PokEmon Snap,,,18,,4,,,,5,,,,,,,,,,,
,PokEmon Stadium,,,18,,2,,,,4,,,,,,4,,,,,
,PokEmon Stadium 2,,,18,,2,,,,4,,,,,,4,,,,,
,Snowboard Kids 2,,,18,,3,,,,4,,,,,,4,,,,,
,Super Smash Bros.,,,18,,4,,,,5,,,,,,4,,,,,
,WWF: No Mercy,,,18,,1,,,,0,,,,,,4,,,,,
,Yoshi's Story,,,18,,3,,,,3,,,,,,,,,,,
,Contra III: The Alien Wars,,,20,,3,,,,5,,,,,,,2,,,,
,Donkey Kong Country,,,20,,3,,,,5,,,,,,,2,,,,
,Donkey Kong Country 2: Diddy's Kong Quest,,,20,,3,,,,5,,,,,,,2,,,,
,Donkey Kong Country 3: Dixie's Double Trouble,,,20,,3,,,,5,,,,,,,2,,,,
,F-Zero,,,20,,3,,,,3,,,,,,2,,,,,
,Kirby Super Star,,,20,,3,,,,5,,,,,,,2,,,,
,Mario Paint,,,20,,0,,,,0,,,,,,,,,,,
,Super Mario World,,,20,,4,,,,5,,,,,,,2,,,,
,Super Metroid,,,20,,3,,,,5,,,,,,,,,,,
,Wheel of Fortune: Deluxe Edition,,,20,,0,,,,1,,,,,,2,,,,,
,Boogerman,,,19,,2,,,,2,,,,,,,,,,,
,Cool Spot,,,19,,2,,,,2,,,,,,,,,,,
,Dr. Robotnik's Mean Bean Machine,,,19,,2,,,,3,,,,,,2,,,,,
,LHX Attack Chopper,,,19,,0,,,,1,,,,,,,,,,,
,Marko,,,19,,2,,,,2,,,,,,,,,,,
,Micro Machines,,,19,,2,,,,3,,,,,,2,,,,,
,Ms. Pac-Man,,,19,,0,,,,3,,,,,,2,2,,,,
,Sonic the Hedgehog 2,,,19,,3,,,,4,,,,,,2,2,,,,
,TaleSpin,,,19,,2,,,,2,,,,,,,2,,,,
,WWF: Royal Rumble,,,19,,2,,,,2,,,,,,2,2,,,,
,Captain Skyhawk,,,21,,4,,,,3,,,,,,,,,,,
,Donkey Kong Jr.,,,21,,4,,,,2,,,,,,,,,,,
,Faxanadu,,,21,,3,,,,3,,,,,,,,,,,
,Metroid,,,21,,3,,,,3,,,,,,,,,,,
,Solar Jetman,,,21,,2,,,,2,,,,,,,,,,,
,Super Mario Bros. 2,,,21,,2,,,,2,,,,,,,2,,,,
,Super Mario Bros. 3,,,21,,4,,,,4,,,,,,,2,,,,
,Super Mario Bros./Duck Hunt,,,21,,,,,,,,,,,,,,,,,
,Super Mario Bros.,1,,21,,3,,,,2,,,,,,,2,,,,
,Duck Hunt,1,,21,,0,,,,2,,,,,,2,,,,,
,Teenage Mutant Ninja Turtles,,,21,,2,,,,2,,,,,,,2,,,,
,To the Earth,,,21,,2,,,,1,,,,,,,,,,,
,Yoshi's Cookie,,,21,,0,,,,1,,,,,,2,,,,,
,Cooking Mama 4: Kitchen Magic,,,40,,0,,,,3,,,,,,4,,,,,
,Fire Emblem Awakening,,,40,,1,,,,0,,,,,,,,,2,,
,Kid Icarus: Uprising,,,40,,3,,,,4,,,,,,,,6,,,
,The Legend of Zelda: Tri Force Heroes,,,40,,2,,,,0,,,,,,,3,3,3,,
,Luigi's Mansion: Dark Moon,,,40,,3,,,,5,,,,,,,4,,4,,
,Mario & Sonic at the London 2012 Olympic Games,,,40,,3,,,,4,,,,,,4,,4,,,
,Mario Kart 7,,,40,,3,,,,4,,,,,,8,,8,,,
,Mario Party: Island Tour,,,40,,3,,,,5,,,,,,4,,,,,
,Mario Party: Star Rush,,,40,,3,,,,4,,,,,,4,,4,,,
,New Super Mario Bros. 2,,,40,,3,,,,5,,,,,,,,,2,,
,Paper Mario: Sticker Star,,,40,,4,,,,3,,,,,,,,,,,
,Professor Layton and the Azran Legacy,,,40,,4,1,,,4,,,,,,,,,,,
,Professor Layton and the Miracle Mask,,,40,,4,1,,,5,,,,,,,,,,,
,Professor Layton vs. Phoenix Wright: Ace Attorney,,,40,,4,1,,,5,,,,,,,,,,,
,Scribblenauts Unlimited,,,40,,4,,,,4,,,,,,,,,,,
,Sega 3D Classics Collection,,,40,,,,,,,,,,,,,,,,,
,Altered Beast,1,,40,19,3,,,,1,,,,,,,,,2,,
,Fantasy Zone,1,,40,-4,2,,,,1,,,,,,,,,,,
,Fantasy Zone II W,1,,40,-2,3,,,,2,,,,,,,,,,,
,Fantasy Zone II: The Tears of Opa-Opa,1,,40,-4,2,,,,1,,,,,,,,,,,
,Galaxy Force II,1,,40,-2,3,,,,2,,,,,,,,,,,
,Maze Walker,1,,40,-4,2,,,,1,,,,,,,,,,,
,Power Drift,1,,40,-2,3,,,,2,,,,,,,,,,,
,Puyo Puyo 2,1,,40,-2,2,,,,3,,,,,,,,2,,,
,Sonic the Hedgehog,1,,40,19,3,,,,3,,,,,,,,,,,
,Thunder Blade,1,,40,-2,3,,,,1,,,,,,,,,,,
,Sonic Generations,,,40,,3,,,,4,,,,,,,,2,,,
,Sonic Lost World,,,40,,3,,,,3,,,,,,4,,4,,,
,Star Fox 64 3D,,,40,,4,,,,5,,,,,,4,,,,,
,Steel Diver,,,40,,3,,,,3,,,,,,2,,,,,
,Super Mario 3D Land,,,40,,4,,,,5,,,,,,,,,,,
,Super Smash Bros. for Nintendo 3DS,,,40,,3,,,,5,,,,,,,,4,2,,
,Super Street Fighter IV: 3D Edition,,,40,,3,,,,4,,,,,,2,,2,,,
,Tetris: Axis,,,40,,0,,,,3,,,,,,8,,,,,
,Zero Escape: Virtue's Last Reward,,,40,,4,,,,3,,,,,,,,,,,
,3D Sonic the Hedgehog 2,,,23,19,3,,,,4,,,,,,,,2,2,,
,Ace Attorney: Phoenix Wright: Dual Destinies,,,23,,4,,,,5,,,,,,,,,,,
,Turnabout Reclaimed,,1,23,,4,,,,4,,,,,,,,,,,
,Ace Attorney: Phoenix Wright: Spirit of Justice,,,23,,4,,,,5,,,,,,,,,,,
,Turnabout Time Traveler,,1,23,,4,,,,4,,,,,,,,,,,
,Cave Story,,,23,,2,,,,4,,,,,,,,,,,
,Gunman Clive,,,23,,4,,,,3,,,,,,,,,,,
,Kersploosh!,,,23,,4,,,,3,,,,,,,,,,,
,Kid Icarus: 3D Classics,,,23,21,4,,,,3,,,,,,,,,,,
,Kirby Fighters Deluxe,,,23,,4,,,,4,,,,,,4,,4,,,
,Kirby's Adventure: 3D Classics,,,23,21,3,,,,2,,,,,,,,,,,
,Mario and Donkey Kong: Minis on the Move,,,23,,3,,,,4,,,,,,,,,,,
,Metroid Prime: Blast Ball,,,23,,0,,,,3,,,,,,6,,6,,,
,Mini Mario & Friends: amiibo Challenge,,,23,,3,,,,3,,,,,,,,,,,
,Retro City Rampage DX,,,23,,3,,,,4,,,,,,,,,,,
,Rhythm Heaven Megamix,,,23,,2,,,,0,,,,,,,,,,,
,Rusty's Real Deal Baseball,,,23,,3,,,,5,,,,,,4,,,,,
,Shantae and the Pirate's Curse,,,23,,3,,,,5,,,,,,,,,,,
,SteamWorld Dig,,,23,,4,,,,5,,,,,,,,,,,
,Steel Diver: Sub Wars,,,23,,3,,,,4,,,,,,8,,8,,,
,VVVVVV,,,22,34,3,,,,4,,,,,,,,,,,
,Donkey Kong (1994),,,24,31,4,,,,4,,,,,,,,,,,
,The Legend of Zelda,,,24,21,3,,,,3,,,,,,,,,,,
,The Legend of Zelda: Link's Awakening DX,,,24,30,3,,,,4,,,,,,,,,,,
,Super Mario Land,,,24,31,4,,,,2,,,,,,,,,,,
,Super Mario Land 2: 6 Golden Coins,,,24,31,4,,,,3,,,,,,,,,,,
,Wario Land 3,,,24,30,4,,,,4,,,,,,,,,,,
,Wario Land II,,,24,30,3,,,,3,,,,,,,,,,,
,Wario Land: Super Mario Land 3,,,24,31,3,,,,3,,,,,,,,,,,
,Zelda II: The Adventure of Link,,,24,21,4,,,,3,,,,,,,,,,,
,The Legend of Zelda: Four Swords: Anniversary Edition,,,25,29,3,,,,4,,,,,,,,,4,,
,Pop Island: Paperfield,,,25,,0,,,,2,,,,,,8,,8,,,
,WarioWare: Snapped,,,25,,1,,,,2,,,,,,,2,,,,
,Killzone: Liberation,,,27,,0,,,,0,,,,,,,,,,,
,LittleBigPlanet,,,27,,0,,,,0,,,,,,,,,,,
,"999: Nine Hours, Nine Persons, Nine Doors",,,28,,4,,,,5,,,,,,,,,,,
,Ace Attorney Investigations: Miles Edgeworth,,,28,,4,,,,5,,,,,,,,,,,
,Ace Attorney: Apollo Justice,,,28,,4,,,,5,,,,,,,,,,,
,Ace Attorney: Phoenix Wright,,,28,,4,,,,5,,,,,,,,,,,
,Ace Attorney: Phoenix Wright: Justice for All,,,28,,4,,,,4,,,,,,,,,,,
,Ace Attorney: Phoenix Wright: Trials and Tribulations,,,28,,4,,,,5,,,,,,,,,,,
,Advance Wars: Days of Ruin,,,28,,3,,,,4,,,,,,,,4,,,
,Animal Crossing: Wild World,,,28,,0,,,,5,,,,,,,,,4,,
,Big Brain Academy,,,28,,1,,,,0,,,,,,8,,,,,
,Bomberman (2005),,,28,,0,,,,4,,,,,,8,,,,,
,Brain Age 2: More Training in Minutes a Day!,,,28,,0,,,,4,,,,,,16,,,,,
,Brain Age: Train Your Brain in Minutes a Day!,,,28,,0,,,,4,,,,,,16,,,,,
,Call of Duty: Modern Warfare 3: Defiance,,,28,,1,,,,0,,,,,,,,6,,,
,Chrono Trigger,,,28,,3,,,,5,,,,,,,,,,,
,Clubhouse Games,,,28,,0,,,,3,,,,,,8,,8,,,
,Contra 4,,,28,,3,,,,5,,,,,,,,,2,,
,Contra,1,,28,21,3,,,,2,,,,,,,,,,,
,Super C,1,,28,21,2,,,,2,,,,,,,,,,,
,Diddy Kong Racing DS,,,28,,4,,,,4,,,,,,8,,8,,,
,DK: Jungle Climber,,,28,,4,,,,5,,,,,,4,,,,,
,Dragon Quest Heroes: Rocket Slime,,,28,,3,,,,5,,,,,,,,4,,,
,Elite Beat Agents,,,28,,4,,,,5,,,,,,4,2,4,2,,
,Geometry Wars: Galaxies,,,28,,2,,,,3,,,,,,2,2,2,2,,
,Geometry Wars: Retro Evolved,1,,28,5,0,,,,3,,,,,,,,,,,
,GoldenEye: Rogue Agent,,,28,,2,,,,1,,,,,,8,,4,,,
,Grand Theft Auto: Chinatown Wars,,,28,,3,,,,5,,,,,,,,2,2,,
,The Legend of Zelda: Spirit Tracks,,,28,,3,,,,4,,,,,,4,,,,,
,The Legend of Zelda: Phantom Hourglass,,,28,,3,,,,4,,,,,,2,,2,,,
,Mario & Luigi: Bowser's Inside Story,,,28,,3,,,,4,,,,,,,,,,,
,Mario & Sonic at the Olympic Games,,,28,,3,,,,2,,,,,,4,,4,,,
,Mario & Sonic at the Olympic Winter Games,,,28,,3,,,,2,,,,,,4,,4,,,
,Mario Hoops: 3-on-3,,,28,,3,,,,4,,,,,,4,,4,,,
,Mario Kart DS,,,28,,4,,,,5,,,,,,8,,8,,,
,Mario Party DS,,,28,,3,,,,4,,,,,,4,,,,,
,Mega Man ZX Advent,,,28,,3,,,,2,,,,,,,,,,,
,Meteos,,,28,,4,,,,5,,,,,,4,,4,,,
,Metroid Prime Hunters,,,28,,3,,,,4,,,,,,4,,4,,,
,Metroid Prime Hunters: First Hunt,,,28,,4,,,,2,,,,,,,,4,,,
,Metroid Prime Pinball,,,28,,1,,,,0,,,,,,8,,8,,,
,Moon,,,28,,3,,,,3,,,,,,,,,,,
,Namco Museum DS,,,28,,,,,,,,,,,,,,,,,
,Dig Dug II,1,,28,-2,0,,,,2,,,,,,,,,,,
,Galaga,1,,28,-2,0,,,,2,,,,,,,,,,,
,Galaxian,1,,28,-2,0,,,,1,,,,,,,,,,,
,Mappy,1,,28,-2,0,,,,2,,,,,,,,,,,
,Pac-Man,1,,28,-2,0,,,,3,,,,,,,,,,,
,Pac-Man Vs.,1,,28,16,0,,,,5,,,,,,4,,,,,
,The Tower of Druaga,1,,28,-2,0,,,,1,,,,,,,,,,,
,Xevious,1,,28,-2,0,,,,2,,,,,,,,,,,
,New Super Mario Bros.,,,28,,3,,,,4,,,,,,4,,,,,
,Nintendogs: Dachshund & Friends,,,28,,0,,,,2,,,,,,,,,,,
,Pac-Pix,,,28,,4,,,,4,,,,,,,,,,,
,Picross DS,,,28,,0,,,,4,,,,,,5,,,,,
,PokEmon Dash,,,28,,3,,,,3,,,,,,,,6,,,
,PokEmon Diamond,,,28,,4,,,,5,,,,,,,,4,,,
,PokEmon SoulSilver,,,28,,3,,,,4,,,,,,,,4,,,
,Professor Layton and the Curious Village,,,28,,4,1,,,5,,,,,,,,,,,
,Professor Layton and the Diabolical Box,,,28,,4,1,,,5,,,,,,,,,,,
,Professor Layton and the Last Specter,,,28,,4,1,,,4,,,,,,,,,,,
,London Life,1,,28,,0,1,,,0,,,,,,,,,,,
,Professor Layton and the Unwound Future,,,28,,4,1,,,5,,,,,,,,,,,
,Sonic Colors,,,28,,3,,,,3,,,,,,2,,2,,,
,Sonic Rush,,,28,,3,,,,4,,,,,,2,,2,,,
,Sonic Rush: Adventure,,,28,,3,,,,4,,,,,,2,,2,,,
,Star Fox: Command,,,28,,4,,,,3,,,,,,6,,6,,,
,Super Mario 64 DS,,,28,,4,,,,5,,,,,,4,,,,,
,Tetris DS,,,28,,0,,,,5,,,,,,10,,,,,
,Viva PiNata: Pocket Paradise,,,28,,4,,,,5,,,,,,,,,,,
,WarioWare: D.I.Y.,,,28,,3,,,,5,,,,,,,,,,,
,Worms: Open Warfare 2,,,28,,3,,,,5,,,,,,2,,4,,,
,Advance Wars 2: Black Hole Rising,,,41,,3,,,,4,,,,,,4,,4,,,
,Banjo-Kazooie: Grunty's Revenge,,,41,,4,,,,3,,,,,,,,,,,
,Banjo-Pilot,,,41,,3,,,,3,,,,,,,,4,,,
,Chu Chu Rocket,,,41,,3,,,,3,,,,,,4,,,,,
,DK: King of Swing,,,41,,3,,,,4,,,,,,4,,4,,,
,F-Zero: GP Legend,,,41,,3,,,,4,,,,,,4,,4,,,
,F-Zero: Maximum Velocity,,,41,,3,,,,4,,,,,,4,,4,,,
,Kirby & The Amazing Mirror,,,41,,4,1,,,5,,,,,,,,4,4,,
,Kuru Kuru Kururin,,,41,,3,,,,4,,,,,,4,,,,,
,The Legend of Zelda: A Link to the Past,,,41,,3,,,,5,,,,,,,,,,,
,The Legend of Zelda: Four Swords,1,,41,,3,,,,4,,,,,,,,,4,,
,Mario & Luigi: Superstar Saga,,,41,,3,,,,3,,,,,,,,,,,
,Mario Bros. (2001),,,41,,0,,,,2,,,,,,4,,4,4,,
,Mario Golf: Advance Tour,,,41,,2,,,,3,,,,,,4,,4,,,
,Mario Kart: Super Circuit,,,41,,3,,,,3,,,,,,4,,4,,,
,Mario Party Advance,,,41,,3,,,,3,,,,,,4,,2,,,
,Mario Tennis: Power Tour,,,41,,2,,,,3,,,,,,,,4,2,,
,Mario vs. Donkey Kong,,,41,,4,,,,4,,,,,,,,,,,
,Mega Man & Bass,,,41,,2,,,,2,,,,,,,,,,,
,Metroid Fusion,,,41,,4,,,,5,,,,,,,,,,,
,Metroid: Zero Mission,,,41,,3,1,,,5,,,,,,,,,,,
,Metroid,1,,41,21,3,1,,,3,,,,,,,,,,,
,PokEmon LeafGreen,,,41,,3,,,,5,,,,,,,,4,,,
,PokEmon Mystery Dungeon: Red Rescue Team,,,41,,3,1,,,3,,,,,,,,,,,
,PokEmon Sapphire,,,41,,3,1,,,5,,,,,,,,4,,,
,Sonic Advance,,,41,,3,,,,4,,,,,,4,,4,,,
,Sonic Advance 2,,,41,,3,,,,4,,,,,,4,,4,,,
,Sonic Advance 3,,,41,,3,,,,3,,,,,,4,,4,2,,
,Wario Land 4,,,41,,3,,,,4,,,,,,,,,,,
,"WarioWare, Inc.: Mega Microgame$!",,,41,,3,,,,5,,,,,,2,,,,,
,Mario Party-e,,,42,,0,,,,3,,,,,,4,,,,,
,Donkey Kong Country ,,,30,20,3,,,,4,,,,,,,,,,,
,PokEmon Silver,,,30,,3,,,,4,,,,,,,,2,,,
,Super Mario Bros. Deluxe,,,30,21,3,,,,4,,,,,,,,2,,,
,Super Mario Bros.: For Super Players,1,,30,21,2,,,,0,,,,,,,,,,,
,Kwirk,,,31,,2,,,,3,,,,,,,,2,,,
,Metroid II: Return of Samus,,,31,,3,,,,4,,,,,,,,,,,
,PokEmon Yellow,,,31,,3,1,,,3,,,,,,,,2,,,
,Command & Conquer: Red Alert 2,,,36,,3,,,,5,,,,,,,,,,,
,Command & Conquer: The First Decade,,,36,,,,,,,,,,,,,,,,,
,Command & Conquer,1,,36,,3,,,,4,,,,,,,,,,,
,Command & Conquer: Generals,1,,36,,3,,,,4,,,,,,,,,,,
,Command & Conquer: Generals: Zero Hour,1,,36,,2,,,,0,,,,,,,,,,,
,Command & Conquer: Red Alert,1,,36,,2,,,,4,,,,,,,,,,,
,Command & Conquer: Red Alert 2,1,,36,,3,,,,5,,,,,,,,,,,
,Command & Conquer: Red Alert: Counterstrike,1,,36,,1,,,,0,,,,,,,,,,,
,Command & Conquer: Red Alert: The Aftermath,1,,36,,1,,,,0,,,,,,,,,,,
,Command & Conquer: Renegade,1,,36,,3,,,,3,,,,,,,,,,,
,Command & Conquer: The Covert Operations,1,,36,,1,,,,0,,,,,,,,,,,
,Command & Conquer: Tiberian Sun,1,,36,,2,,,,4,,,,,,,,,,,
,Command & Conquer: Tiberian Sun: Firestorm,1,,36,,1,,,,0,,,,,,,,,,,
,Command & Conquer: Yuri's Revenge,1,,36,,3,,,,5,,,,,,,,,,,
,Command & Conquer: Yuri's Revenge,,,36,,3,,,,5,,,,,,,,,,,
,Lode Runner: The Legend Returns,,,36,,2,,,,5,,,,,,,,,,,
,Red Alert 3,,,36,,3,,,,5,,,,,,,,,,,
,Sid Meier's Civilization III Complete,,,36,,1,,,,0,,,,,,,,,,,
,Sid Meier's Civilization IV,,,36,,0,,,,0,,,,,,,,,,,
,Beyond the Sword,,1,36,,2,,,,0,,,,,,,,,,,
,Colonization,,1,36,,1,,,,0,,,,,,,,,,,
,Warlords,,1,36,,0,,,,0,,,,,,,,,,,
,SimCity 3000,,,36,,0,,,,4,,,,,,,,,,,
,Spore,,,36,,3,,,,4,,,,,,,,,,,
,Gone Home,,,34,,4,,,,4,,,,,,,,,,,
,Hidden in Plain Sight,,,34,,0,,,,4,,,,,,,,,,,
,Light Angles,,,34,,0,,,,4,,,,,,8,,,,,
,Lode Runner Online: The Mad Monks' Revenge,,,34,,0,,,,5,,,,,,,2,,,,
,Mari0,,,34,,0,,,,0,,,,,,,4,,,,
,Minecraft,,,34,,0,,,,5,,,,,,,,,,,
,Regular Human Basketball,,,34,,0,,,,5,,,,,,10,,,,,
,Street Fighter X Mega Man,,,34,,3,,,,3,,,,,,,,,,,
,An Untitled Story,,,34,,3,,,,5,,,,,,,,,,,
,1001 Spikes,,,35,,1,,0,25,0,,,,,,4,4,,,,
,12 orbits,,,35,,1,,,,0,,,,,,12,,,,,
,Amnesia: The Dark Descent,,,35,,3,,,,4,,,,,,,,,,,
,Justine,,1,35,,0,,,,0,,,,,,,,,,,
,Astro Duel,,,35,,0,,,,4,,,,,,4,,,,,
,The Beginner's Guide,,,35,,4,,,,0,,,,,,,,,,,
,Bionic Commando: Rearmed,,,35,,3,,,,5,,,,,,4,2,,,,
,Borderlands,,,35,,2,,15,80,5,,,,,,,,,,,
,Broforce,,,35,,0,,,,4,,,,,,4,4,,,,
,Clusterpuck 99,,,35,,2,,,,0,,,,,,8,,,,,
,CMYW,,,35,,0,,,,4,,,,,,,4,,,,
,Collider,,,35,,0,,,,4,,,,,,8,,,,,
,Counter-Strike,,,35,,0,,,,0,,,,,,,,,,,
,Counter-Strike: Condition Zero,,,35,,3,,,,3,,,,,,,,,,,
,Counter-Strike: Condition Zero Deleted Scenes,,,35,,2,,,,0,,,,,,,,,,,
,Counter-Strike: Source,,,35,,0,,,,0,,,,,,,,,,,
,Crawl,,,35,,2,,,,0,,,,,,4,,,,,
,Day of Defeat,,,35,,0,,,,0,,,,,,,,,,,
,Day of Defeat: Source,,,35,,0,,0,52,0,,,,,,,,,,,
,Dear Esther,,,35,,4,,,,4,,,,,,,,,,,
,Deathmatch Classic,,,35,,0,,,,0,,,,,,,,,,,
,Deus Ex,,,35,,3,,,,5,,,,,,,,,,,
,Deus Ex: Human Revolution,,,35,,3,,0,49,5,,,,,,,,,,,
,Deus Ex: Invisible War,,,35,,3,,,,3,,,,,,,,,,,
,Divekick,,,35,,3,,0,14,4,,,,,,2,,,,,
,Duck Game,,,35,,1,,,,0,,,,,,4,,,,,
,Dustforce DX,,,35,,2,,0,1,0,,,,,,4,,,,,
,Gang Beasts,,,35,,0,,,,5,,,,,,8,,,,,
,Goat Simulator,,,35,,1,,0,47,5,,,,,,,4,,,,
,Greed Corp,,,35,,3,,3,13,5,,,,,,,,,,,
,Gun Monkeys,,,35,,0,,,,0,,,,,,2,,,,,
,Half-Life,,,35,,3,,,,5,,,,,,,,,,,
,Half-Life 2,,,35,,3,,20,33,5,,,,,,,,,,,
,Half-Life 2: Deathmatch,,,35,,0,,,,0,,,,,,,,,,,
,Half-Life 2: Episode One,,,35,,3,,6,13,5,,,,,,,,,,,
,Half-Life 2: Episode Two,,,35,,3,,13,22,5,,,,,,,,,,,
,Half-Life 2: Lost Coast,,,35,,3,,,,3,,,,,,,,,,,
,Half-Life Deathmatch: Source,,,35,,0,,,,0,,,,,,,,,,,
,Half-Life: Blue Shift,,,35,,3,,,,3,,,,,,,,,,,
,Half-Life: Opposing Force,,,35,,3,,,,5,,,,,,,,,,,
,Half-Life: Source,,,35,,3,,,,5,,,,,,,,,,,
,Hitman: Blood Money,,,35,,3,,,,5,,,,,,,,,,,
,Jamestown,,,35,,0,,0,42,0,,,,,,,,,,,
,Keep Talking and Nobody Explodes,,,35,,0,,,,0,,,,,,,2,,,,
,Left 4 Dead,,,35,,3,,24,73,5,,,,,,,,,,,
,Left 4 Dead 2,,,35,,3,,1,67,5,,,,,,,,,,,
,Lethal League,,,35,,2,,3,23,4,,,,,,4,,,,,
,Limbo,,,35,,3,,5,13,4,,,,,,,,,,,
,Lovers in a Dangerous Spacetime,,,35,,1,,,,0,,,,,,,4,,,,
,Mashed,,,35,14,4,,,,4,,,,,,4,,,,,
,Moonshot,,,35,,0,,,,4,,,,,,4,,,,,
,Move or Die,,,35,,1,,,,0,,,,,,4,,,,,
,Nidhogg,,,35,,4,,4,12,5,,,,,,2,,,,,
,Obliteracers,,,35,,1,,0,13,0,,,,,,16,,,,,
,Octodad: Dadliest Catch,,,35,,2,,1,32,0,,,,,,,4,,,,
,OlliOlli 2: Welcome to Olliwood,,,35,,3,,13,27,4,,,,,,4,,,,,
,Orbital Gear,,,35,,0,,0,12,4,,,,,,4,,,,,
,Overcooked,,,35,,1,,0,12,0,,,,,,,4,,,,
,The Last Morsel,,1,35,,1,,,,0,,,,,,,4,,,,
,Pac-Man 256,,,35,,0,,,,4,,,,,,,4,,,,
,Pac-Man Museum,,,35,,,,,,,,,,,,,,,,,
,Pac & Pal,1,,35,-2,0,,4,12,2,,,,,,,,,,,
,Pac-Attack,1,,35,19,0,,,,2,,,,,,2,,,,,
,Pac-Land,1,,35,-2,0,,,,1,,,,,,,,,,,
,Pac-Man,1,,35,-2,0,,,,3,,,,,,,,,,,
,Pac-Man Arrangement (2005),1,,35,16,3,,,,4,,,,,,,,,,,
,Pac-Man Championship Edition,1,,35,5,0,,,,4,,,,,,,,,,,
,Pac-Man: Battle Royale,1,,35,-2,0,,,,4,,,,,,4,,,,,
,Pac-Mania,1,,35,-2,0,,,,3,,,,,,,,,,,
,Super Pac-Man,1,,35,-2,0,,,,2,,,,,,,,,,,
,Pix the Cat,,,35,,0,,4,11,4,,,,,,4,,,,,
,Portal,,,35,,3,,5,15,5,,,,,,,,,,,
,Portal 2,,,35,,3,,16,50,5,,,,,,,,,,,
,Push Me Pull You,,,35,,0,,0,11,5,,,,,,4,,,,,
,Red Faction ,,,35,,3,,,,2,,,,,,,,,,,
,Red Faction II,,,35,,3,,,,2,,,,,,,,,,,
,Ricochet,,,35,,0,,,,0,,,,,,,,,,,
,Rivals of Aether,,,35,,1,,,,0,,,,,,4,,,,,
,Rocket League,,,35,,1,,0,70,0,,,,,,4,,,,,
,Rome: Total War,,,35,,2,,,,4,,,,,,,,,,,
,Alexander,,1,35,,1,,,,0,,,,,,,,,,,
,Barbarian Invasion,,1,35,,2,,,,0,,,,,,,,,,,
,Samurai Gunn,,,35,,0,,0,6,5,,,,,,4,,,,,
,Screencheat,,,35,,0,,0,21,5,,,,,,8,,,,,
,Soccertron,,,35,,0,,0,30,0,,,,,,4,,,,,
,Sonic the Hedgehog 3 & Knuckles,,,35,19,3,,,,4,,,,,,2,2,,,,
,SpeedRunners,,,35,,0,,3,14,4,,,,,,4,,,,,
,Spelunky,,,35,,3,,7,20,4,,,,,,4,4,,,,
,The Stanley Parable,,,35,,3,,6,10,4,,,,,,,,,,,
,Star Wars: Knights of the Old Republic,,,35,,2,,,,0,,,,,,,,,,,
,Starwhal,,,35,,0,,0,24,5,,,,,,4,,,,,
,Super Impossible Road,,,35,,0,,,,4,,,,,,4,,,,,
,Super Meat Boy,,,35,,3,,,,5,,,,,,,,,,,
,Team Fortress 2,,,35,,0,,44,448,5,,,,,,,,,,,
,Team Fortress Classic,,,35,,0,,,,0,,,,,,,,,,,
,Thief Town,,,35,,0,,0,32,0,,,,,,4,,,,,
,Toto Temple Deluxe,,,35,,2,,,,0,,,,,,4,,,,,
,TowerFall: Ascension,,,35,,3,,10,20,5,,,,,,4,2,,,,
,TowerFall: Dark World,,1,35,,2,,,,5,,,,,,4,4,,,,
,TowerFall: 8-Player,,1,35,,0,,,,0,,,,,,8,,,,,
,Tricky Towers,,,35,,2,,0,29,5,,,,,,4,,,,,
,Ultimate Chicken Horse,,,35,,0,,0,31,5,,,,,,4,,,,,
,Undertale,,,35,,3,,,,5,,,,,,,,,,,
,Vertiginous Golf,,,35,,3,,9,45,4,,,,,,4,,,,,
,Videoball,,,35,,2,,,,0,,,,,,6,,,,,
,Worms: Clan Wars,,,35,,0,,3,14,4,,,,,,4,,,,,
,Worms: Reloaded,,,35,,0,,0,61,2,,,,,,4,,,,,
,Angry Birds,,,32,,0,1,,,2,,,,,,,,,,,
,Angry Birds 2,,,32,,0,,,,3,,,,,,,,,,,
,O Loop,,,32,,0,,,,3,,,,,,,,,,,
,Clash of Clans,,,32,,0,,,,2,,,,,,,,,,,
,Crossy Road,,,32,,0,,,,3,,,,,,,,,,,
,Desert Golfing,,,32,,0,,,,3,,,,,,,,,,,
,Deus Ex Go,,,32,,3,,,,4,,,,,,,,,,,
,Downwell,,,32,,2,,,,4,,,,,,,,,,,
